City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
315,Iskateley,67.6803,53.1512,36.01,97,100,16.67,RU,overcast clouds
316,Mehamn,71.0357,27.8492,32.0,86,75,9.22,NO,light rain
317,Mineiros,-17.5694,-52.5511,61.97,55,10,3.13,BR,clear sky
318,Logrono,42.4667,-2.45,48.2,93,0,6.91,ES,clear sky
319,Mayumba,-3.432,10.6554,75.16,89,100,6.26,GA,light rain
320,Santa Maria,-29.6842,-53.8069,64.4,88,0,8.05,BR,clear sky
321,Nuuk,64.1835,-51.7216,33.8,75,0,2.3,GL,clear sky
322,San Patricio,28.017,-97.5169,73.4,88,90,12.66,US,overcast clouds
323,Araouane,18.9048,-3.5265,83.1,13,3,4.47,ML,clear sky
324,Praia,14.9215,-23.5087,68.0,77,0,16.11,CV,clear sky
325,Bunol,39.4167,-0.7833,52.0,93,20,3.44,ES,few clouds
326,Changping,40.2186,116.2197,75.99,46,0,4.47,CN,clear sky
327,Leh,34.1667,77.5833,28.92,64,96,4.88,IN,overcast clouds
328,Casa Nova,-9.4167,-41.1333,78.98,70,83,7.31,BR,light rain
329,Tamiahua,21.2667,-97.45,74.66,94,98,9.46,MX,overcast clouds
330,Luau,-10.7073,22.2247,64.08,89,77,3.44,AO,broken clouds
331,Manthani,18.65,79.6667,94.08,37,91,6.02,IN,overcast clouds
332,Codrington,-38.2667,141.9667,59.09,63,100,14.09,AU,overcast clouds
333,Haimen,23.1935,116.6142,86.0,54,0,6.71,CN,clear sky
334,Aripuana,-9.1667,-60.6333,71.35,98,8,1.72,BR,clear sky
335,Broome,42.2506,-75.833,33.01,80,90,10.36,US,overcast clouds
336,Sisimiut,66.9395,-53.6735,28.33,52,28,8.23,GL,scattered clouds
337,Ponta Delgada,37.7333,-25.6667,59.0,72,40,34.52,PT,scattered clouds
338,Kollo,13.3043,2.339,87.8,37,0,8.05,NE,clear sky
339,Qasigiannguit,68.8193,-51.1922,26.6,68,35,4.61,GL,scattered clouds
340,Imbituba,-28.24,-48.6703,68.0,83,0,2.3,BR,clear sky
341,Aguada De Pasajeros,22.385,-80.8508,75.2,88,89,5.75,CU,overcast clouds
342,Tevriz,57.509,72.4042,43.0,39,0,11.97,RU,clear sky
343,Cururupu,-1.8283,-44.8683,73.87,95,100,0.98,BR,overcast clouds
344,Aykhal,66.0,111.5,27.54,84,100,26.15,RU,overcast clouds
345,Mount Pleasant,32.7941,-79.8626,50.0,87,1,6.46,US,clear sky
346,San Rafael Del Sur,11.8485,-86.4384,82.4,57,40,11.5,NI,scattered clouds
347,Bay Roberts,47.5999,-53.2648,44.01,95,100,1.01,CA,light rain
